week	SanMateo	Oakland	Fremont	Dublin
1	256	278	202	283
2	199	130	202	134
3	177	194	82	191
4	153	237	169	226
5	246	231	258	185
6	181	120	211	232
7	218	106	264	180
8	181	171	193	173
9	229	202	125	166
10	132	178	203	175
11	220	237	123	243
12	150	104	228	159
13	104	126	169	173
14	224	149	149	149
15	251	280	184	152
16	56	172	204	235
17	141	182	167	33
18	180	158	208	211
19	198	158	167	249
20	120	164	181	184
21	115	101	224	97
22	137	195	178	243
23	172	193	69	215
24	151	182	178	182
25	149	236	289	264
26	105	185	169	139
27	181	170	164	95
28	136	117	267	207
29	213	155	192	223
30	203	166	133	163
31	212	163	206	156
32	166	97	127	192
33	84	291	164	240
34	228	125	257	271
35	207	188	214	175
36	165	243	130	196
37	135	187	147	127
38	238	89	185	194
39	161	207	131	102
40	275	173	228	166
41	140	178	181	234
42	121	300	197	154
43	216	230	136	136
44	227	180	173	165
45	211	170	288	267
46	242	162	48	87
47	251	158	155	111
48	127	201	229	171
49	127	198	163	294
50	203	200	167	196
51	90	142	85	236
52	162	122	136	259
53	214	136	241	220
54	165	148	173	170
55	250	48	170	164
56	140	160	205	237
57	166	242	260	165
58	173	289	202	145
59	153	145	137	232
60	169	146	109	155
61	215	158	168	213
62	183	148	154	144
63	155	134	139	113
64	219	217	166	249
65	184	210	202	227
66	218	56	275	152
67	179	168	202	177
68	215	227	233	189
69	84	109	140	172
70	199	140	168	204
71	218	141	163	136
72	72	131	206	236
73	136	215	209	205
74	224	121	139	86
75	215	162	130	174
76	148	125	147	220
77	144	155	293	197
78	166	225	169	191
79	189	115	154	186
80	225	190	260	269
81	160	249	117	146
82	151	300	271	135
83	182	146	221	215
84	165	160	188	170
85	120	150	172	159
86	191	127	175	155
87	170	171	175	196
88	174	250	205	167
89	201	267	230	236
90	232	210	206	250
91	167	119	88	291
92	190	206	248	214
93	279	139	169	204
94	161	81	247	168
95	199	180	153	262
96	189	239	152	111
97	225	107	229	153
98	153	154	272	116
99	221	251	142	255
100	175	136	146	57
101	125	210	114	180
102	238	167	127	255
103	148	174	167	144
104	84	262	186	161
105	179	206	254	157
106	233	195	183	174
107	226	123	230	229
108	158	144	67	237
109	146	196	268	129
110	163	239	135	81
111	185	314	127	265
112	168	181	242	161
113	279	217	125	151
114	243	194	152	136
115	107	160	262	215
116	197	205	223	181
117	256	33	178	25
118	154	138	179	258
119	199	194	206	156
120	233	161	103	191
121	129	187	233	198
122	192	149	227	225
123	132	172	154	155
124	169	160	141	187
125	165	229	231	197
126	157	255	170	201
127	225	97	79	262
128	136	151	143	162
129	186	226	168	129
130	186	119	104	183
131	186	224	131	130
132	119	164	224	182
133	210	270	164	234
134	267	152	186	244
135	249	137	189	159
136	209	101	235	215
137	228	172	186	156
138	214	180	227	162
139	80	168	142	158
140	105	164	263	195
141	153	170	218	168
142	158	244	98	195
143	113	134	221	246
144	128	151	148	186
145	183	217	207	334
146	201	165	254	205
147	137	228	122	234
148	241	142	232	39
149	167	181	253	234
150	146	195	105	136
151	234	179	195	165
152	213	159	129	205
153	111	184	151	171
154	183	135	200	190
155	230	177	151	169
156	221	134	59	209
157	143	265	208	192
158	276	191	173	128
159	211	178	132	149
160	259	172	164	91
161	236	245	147	142
162	125	259	161	121
163	270	126	174	168
164	267	193	215	130
165	123	173	227	153
166	267	226	180	172
167	222	284	213	217
168	169	129	211	164
169	146	110	187	118
170	181	187	115	164
171	130	220	152	163
172	259	180	129	162
173	245	169	130	186
174	187	157	135	101
175	147	192	118	149
176	105	181	223	234
177	190	247	232	194
178	170	155	145	154
179	112	118	102	133
180	134	208	209	125
181	152	195	203	166
182	229	231	123	183
183	220	219	128	163
184	177	142	223	160
185	100	175	241	255
186	284	176	146	115
187	126	287	234	153
188	250	173	118	181
189	148	164	141	126
190	250	124	127	177
191	208	192	238	142
192	84	267	259	190
193	148	216	143	105
194	122	166	216	241
195	299	257	129	166
196	141	197	166	162
197	159	166	144	166
198	132	160	273	157
199	240	178	241	204
200	193	267	228	135
201	166	227	172	140
202	171	248	191	219
203	144	208	205	231
204	173	133	215	135
205	280	184	205	315
206	83	189	148	173
207	134	187	192	154
208	96	179	143	153
